ID;FILE
18;Mas além dos “Vs” existem outras diferenças significativas que devem ser consideradas em projetos de B&A. Vamos ver alguns:
19;Primeiro, do ponto de vista de arquitetura: projetos tradicionais tem uma arquitetura centralizada, enquanto Big Data é distribuída. Se o projeto tradicional precisar crescer, este crescimento é feito de forma vertical: se adiciona mais memória, poder de processamento e armazenamento ao servidor. Projetos de Big Data crescem horizontalmente, em vez de um “upgrade” no servidor, novos nodos, como data nodes ou name nodes, são adicionados à estrutura de B&A, geralmente virtualizados. Projetos tradicionais trafegam mais dados do servidor para o cliente ou do servidor para fora da empresa. Em projetos de Big Data o maior trafego é entre os nós dos servidores: entre data nodes, entre nomes nodes e data notes etc.
20;Em projetos tradicionais, existe uma grande preocupação em só carregar dados em que, a partir de uma análise prévia, se vê valor. Estes dados são tratados e carregados em repositórios pequenos (para os padrões de Big Data) para apoiar decisões. Por outro lado, projetos de Big Data carregam grandes volumes de dados em um sistema de arquivo como o HDFS, em seu formato nativo, mesmo que em princípio não se enxergue valor. Estes dados formam os conhecidos data lakes, ou lagos de dados. Posteriormente, parte destes dados podem ser transformados e carregados em um data mart tradicional.
21;Outra forma que podemos olhar uma solução de Big Data é sob sua arquitetura básica. Neste contexto, temos quatro elementos: fontes de dados, carga, armazenamento, analise e visualização (ou apresentação). Neste aspecto, em uma solução de análise de dados clássica estão presentes estes mesmos elementos de arquitetura, o que muda, são algumas particularidades em alguns elementos. Vamos entender melhor.
22;Quantos as fontes de dados, podemos ter nos dois casos os mesmos elementos: dados estruturados ou não estruturados. Porém, projetos de Big Data tem mais presentes fontes de dados não estruturadas, como já estudamos no quesito variedade. Na carga, também temos elementos semelhantes nos dois casos: a carga pode ser feita por um processo de carga, um web service ou mesmo uma API. No armazenamento começam as diferenças. Um projeto tradicional armazena dados em um banco de dados relacional ou dimensional, enquanto projetos de Big Data armazenam dados em sistemas de arquivos distribuídos com HDFS e bancos de dados NoSQL. Na etapa de análise, em que o objetivo é transformar dados em informação, também há alguma semelhança entre projetos tradicionais e de Big Data: em comum, pode-se usar consultas com uma linguagem estruturada (Pig Latin ou SQL) ou um algoritmo de aprendizado de máquina. Já projetos tradicionais usam cubos, enquanto Big Data usa map reduce. Na visualização temos novamente os mesmos elementos: painéis, relatórios, KPIs entre outros.
23;Projetos de B&A não são criados para analisar dados, configurar clusters, contratar consultores, ou programar scripts: estes elementos são meios para chegar ao objetivo do projeto: responder perguntas. B&A são altamente complexos e envolvem um grande número de variáveis. Se pudemos agrupar estes elementos em grupos, eles seriam quatro, citados aqui em ordem decrescente de importância: pessoas, processos, dados e tecnologia.
24;As pessoas são sem dúvida o elemento mais importante. Projetos de B&A são feitos por pessoas para pessoas, elas estarão sempre envolvidas no processo: produzem os dados de origem, configuram os sistemas de processamento, programam os scripts, definem as regras de negócios, fornecem suporte, interpretam a legislação, geram os relatórios, parametrizam os KPIs, definem os requisitos técnicos e funcionais das soluções entre outros. A gestão de pessoas nestes projetos são tão ou mais importantes do que em outros projetos de tecnologia da informação.
25;Depois, temos os processos de negócio. Estes processos que vão definir os requisitos funcionais do projeto. Eles podem vir de pessoas, de normas internas, de necessidade gerenciais, de legislação, de conformidade ou de regras de mercado.
26;Temos então o dado, que é a matéria prima essencial. Poderíamos fazer uma analogia de um projeto de B&A com uma máquina em uma linha de produção. De um lado, entram dados. Estes dados vão entrar incompletos, inconsistentes, imprecisos e inexatos. O primeiro processo desta linha de produção é trata-los, deixando-os com a qualidade mínima para os objetivos do projeto. Além disso, os dados podem ter suas estruturas modificadas de diversas formas. O dado ainda será processado por um algum algoritmo, com uma função matemática, estatística ou de álgebra relacional, a fim de chegar ao seu formato de onde o usuário seja capaz de extrair informação e conhecimento.
27;Por fim, tecnologia: projetos de dados estão cercados de tecnologia: conectores, softwares de extração, softwares de transformação, softwares de qualidade de dados, algoritmos de aprendizado de máquina, software de visualização, discos rígidos, clusters, roteadores, switches etc.
28;Do ponto de vista de tipo de negócio, um projeto de Big Data pode ser classificado de duas formas: o que busca trazer uma vantagem competitiva, ou aquele que cria um produto ou serviço de dados. Buscar uma vantagem competitiva é resolver um problema de negócio, os clássicos vender mais, gastar menos, ser mais eficiente. Um produto ou serviço é oferecer algo em forma de valorizar dados: um mecanismo de buscas, um serviço de previsão de preços de passagens áreas, um BI self-service entre outros.
29;A segunda forma de classificação destes projetos é quanto aos objetivos, vejamos alguns:
30;Negócios: é o tipo mais comum, buscam melhor eficiência e eficácia de negócios: os já mencionados vender mais, produzir mais, perder menos.
31;Auditoria: buscam encontrar fraudes, desperdícios e erros. Pode ser uma iniciativa interna ou externa da organização.
32;Conformidade: projetos para atender alguma norma de conformidade. A conformidade está associada a alguma entidade reguladora ou fiscalizadora sob a qual a empresa está inserida. Alguns tipos de conformidade, com os referentes ao eSocial brasileiro, requerem a produção de dados ao invés de artefatos de visualização, em outras palavras, estes tipos de projetos geram arquivos produzidos em um layout pré-definido ao invés de um relatório ou um KPI. Um outro exemplo é a seção 404 da Sarbanes-Oxley Act. O Sarbanes-Oxley Act se aplica a empresas que tenham ações registradas na SEC (Securities and Exchange Comission) dos Estados Unidos. Este ato determina que uma serie de controles e procedimentos financeiros, incluindo relatórios, sejam produzidos e mantidos.
33;Operação: atende requisitos operacionais, como por exemplo controle de linha de produção, CEP (Controle Estatístico de Processos), monitoramento de sistemas de informação, controle de tráfego, entre outros.
34;Pesquisa: qualquer projeto de pesquisa em áreas como medicina, biologia ou até mesmo busca de vida extraterrestre. Um exemplo é o projeto GIMPS (Great Internet Mersenne Prime Search), que busca números primos de Mersenne. É o maior projeto de computação distribuida do mundo. Neste projeto, qualquer pessoa ou organização pode baixar um software específico que usa o tempo ocioso de processamento do computador, para busccar números primos. Existem muitos projetos de computação distribuida e colaborativa no mundo, buscando cura para doenças, modelos climáticos entre outros.
35;São várias os tipos de análise que projetos de B&A podem realizar. Alguns projetos podem inclusive, utilizar vários tipos. Por exemplo, é normal em projetos de análise preditiva iniciar com uma análise exploratória. Vamos ver os principais tipos:
36;Descritivos ou Exploratórios: buscam analisar os dados para conhece-los ou apresentar resultados consolidados, como vendas por tipo de produto ou funcionários por departamento. É fortemente baseada em visualização, produzindo gráficos como dispersão, diagrama de caixa, setores, barras entre outros.
37;Inferência: tem como objetivo apresentar prováveis fatos a partir de uma parte menor da população dos dados. Este tipo de análise é apresentado junto com uma margem de erro.
38;Analíticos: busca relações entre dados. Por exemplo, relação de vendas com o sexo do cliente, ou absentismo de acordo como cargo do funcionário.
39;Preditivos: buscam prever fatos futuros. Tem como base fatos ocorridos no passado. Também funcionam com uma margem de erro na previsão. As aplicações em análise preditivas são muitas: prever que será bom pagador, qual aluno terá melhor desempenho, quanto tempo o funcionário ficará na empresa etc.
40;Prescritivos: se o preditivo permite prever o fatoro, a prescritiva traz informações que permite mudar um evento futuro. Por exemplo, na seção anterior o objetivo era prever quanto tempo o funcionário ficará na empresa, mas uma análise prescritiva pode dizer o que deve ser feito para reter o funcionário na empresa.
41;A classificação quanto as fontes de dados também podem ser muito diversas. Primeiro podemos olhar a fonte quanto ao modelo: relacional, rede, hierárquico, orientado a objetos, chave-valor, dimensional etc. Quanto ao fornecedor: Oracle, IBM, Microsoft, Apache etc. Quanto a origem: sistemas de produção, mídias sociais, pesquisas, benchmarking, sensores etc. Por fim, os dados podem ser estruturados, não estruturados e semiestruturados. Vamos entender melhor esta classificação:
42;Estruturados: são dados organizados em linhas em colunas, como em planilhas e banco de dados relacionais. Sua estrutura é fixa e rígida: uma tabela de fornecedores, de produtos ou mesmo de clientes são exemplos.
43;Semiestruturados: nesta modelo, existe uma definição de estrutura, mas ela não é homogenia e não é fixa. Exemplos são arquivos XML e Json.
44;Não estruturados: são dados sem qualquer tipo de estrutura definida: documentos, e-mails, sites etc.
45;Já estudamos que projetos de B&A são, acima de tudo, projetos como quaisquer outros no sentido de que precisam de planejamento e controle. Porém normalmente são mais complexos e com maior risco. Mas o que diferencia o gerente de projetos tradicionais do de projetos de B&A? Coloco aqui alguns pontos que considero importantes: 
46;Experiência em projeto de B&A: estamos falando de projetos complexos e difíceis. Por mais que o gerente de projetos tenha anos de experiência em outras industrias, é fundamental que grandes projetos sejam gerenciados por pessoas com experiência neste tipo de projeto. Você pode estar se perguntando, mas como adquirir experiência? Começando com projetos pequenos e de baixa complexidade ou atuando com algum gerente de projeto já experiente.
47;Gestão de Equipe: um projeto de B&A envolve equipes multifuncionais, com habilidades e experiências diversificadas. O gerente de projeto deve ser capaz de buscar e reconhecer competências, garantir que os recursos recebam os treinamentos necessários, manter a equipe motivada e garantir que cada membro da equipe de o melhor de sua capacidade em busca dos objetivos do projeto.
48;Entendidos conceitos e premissas fundamentais em B&A, neste capítulo vamos analisar alguns fatores importantes que o gerente de projetos e sua equipe devem observar antes ou durante a execução do projeto. Estes elementos estão intimamente relacionados com o capítulo seguinte: riscos, pois, muitos dos fatores aqui apresentados, se forem ignorados, certamente aumentarão os riscos do projeto.
49;Não é função do gerente de projetos criar o Business Case que vai justificar o projeto: normalmente ele vai receber este documento pronto, já amplamente discutido, analisado e aprovado. Caberia ao gerente de projetos apenas acatar o plano e implementa-lo. Mas as coisas podem não ir muito bem se simplesmente “fecharmos os olhos” e seguirmos em frente.
50;Um projeto qualquer deve entregar valor. Um projeto de B&A, como qualquer outro, deve entregar valor. Não é porque o projeto tem um Business Case bem elaborado, discutido e aprovado, que a geração de valor estará garantida (embora teoricamente deveria estar). Você, como gestor do projeto, quer ter em seu currículo um projeto que seja um sucesso em cumprir cronogramas, prazos e custos e que atendeu a definição de pronto, mas que que não entregou valor? Que depois, ou logo depois que entrou em produção é abandonado? Ou que nem chegou a entrar em produção, pois a entrega de valor simplesmente deixou de existir ou ser relevante? Claro que todo gerente de projetos tem que lidar, uma hora ou outra, com projetos que fracassam, pelos mais diversos motivos. Mas não é algo que acontece pelas circunstancias, não por omissão.
51;Infelizmente, é comum projetos de B&A serem produzidos com pouca ou nenhuma utilidade prática. Um gerente funcional que elabora um projeto com questões meramente operacionais, quando seu setor está indo para o buraco e ele não tem qualquer dado para apoia a decisão, um auditor que quer gerar um arquivo para uma norma de conformidade que vai mudar e ser adiada dezenas de vezes antes de ser obrigatória, um executivo que quer um relatório para atender uma questão pessoal, o CIO que ouviu falar de uma nova tecnologia e quer ter aquilo em seu currículo, entre muitos outros casos.
52;Um projeto de B&A não é uma brincadeira. Envolve muitos recursos financeiros e humanos, tempo, e põe em risco a reputação de pessoas. Normalmente um projeto é aprovado em detrimento de outro, que poderia ser mais importante e de fato entregar valor. Por isso, antes de mais nada, o gerente de projetos deve analisar e garantir que o projeto entregue, de fato, valor para a organização.
53;Garantido que o projeto entregará valor, como gerentes de projetos é nosso dever também ter claro quais são os critérios que definem o sucesso de projeto. Sem critérios claros de sucesso definidos, o projeto poderá entrar numa eterna discussão de que se foi bem-sucedido ou não, pois esta passará a ser uma questão subjetiva e pessoal.
54;Já sabemos que não basta o projeto ser entregue em tempo, prazo e custo, aliás, é muito comum um ou mais destes três elementos falharem e mesmo assim o projeto ser considerado um sucesso.
55;Os critérios de sucesso devem ser definidos como patrocinador e usuários chave, todos devem concordar com os mesmos e estes devem ser documentados. Os critérios de sucesso em projetos de B&A podem ser os mais diversos, vejamos alguns dos mais comuns:
56;Normalmente mais de um critério de sucesso é definido. Estes critérios devem ser mensuráveis para serem avaliados. Por exemplo, 70% dos usuários satisfeitos, redução de fraudes em 1%, redução de custo operacional de 0,5%.
57;Os critérios de sucesso não devem ser confundidos com a definição de pronto. A definição de pronto é quando o projeto termina de ser implementado, devendo ser aceito e entregue, dentro dos critérios estabelecidos de escopo, performance e qualidade.
58;Na seção anterior falamos de critérios de sucesso, eles são usados para medir se o projeto foi bem-sucedido. Nesta seção vamos falar de fatores de sucesso, que são pontos específicos que devem ser analisados para aumentar as chances de sucesso do projeto. Então, para ficar claro, critérios são métricas aplicadas quando o projeto está pronto, fatores são pontos que o gerente de projeto e sua equipe devem observar para aumentar as chances de o projeto ser bem-sucedido. Vamos ver alguns fatores de sucesso de projetos de B&A:
59;Suporte do patrocinador: seu patrocinador realmente acredita no projeto, ou alguém designou ele com a missão de fazer o projeto acontecer, mas ele não está muito interessado, tem outras prioridades? Não ter total apoio do patrocinador é um péssimo sinal de dias ruins, como ter algum recurso chave do seu projeto cortado sem aviso prévio. É fundamental que o patrocinador conheça, acredite e priorize o projeto dentro da organização.
60;Envolvimento dos interessados: este item está de certa forma relacionado a falta de suporte do patrocinador. Em grandes empresas todos estão sempre muito ocupados. Se o projeto não é prioridade, as partes interessadas não vão se envolver. Se eles não vêm valor no projeto, também não vão se envolver. No capítulo de recursos humanos falamos sobre a importância da evangelização das partes interessadas sobre aspectos de B&A e especificamente do projeto em andamento.
61;Metas de projeto: falamos em seção anterior que um projeto de sucesso não é apenas aquele que entrega o projeto com mínima variação de prazo, com o escopo acordado e com os custos previstos. Mas claro, isso também é um fator de sucesso! Falamos que entregar no prazo, custo e escopo não adianta se não entregar valor. Mas pense a situação contrária, o projeto entregou valor mas levou 18 meses a mais do que o planejado! Uma das funções mais importantes do gerente de projeto é manter o controle, para que, quando necessário, as medidas corretivas sejam tomadas para evitar um dano maior ao projeto. Se tivesse que resumir gerencia de projetos em uma única palavra, a palavra seria CONTROLE.
62;Orientado a negócio e não a tecnologia: infelizmente muitos projetos nascem orientados a tecnologia. Se as tecnologias estão de acordo com o que se quer construir, tudo bem, porém, se forem sub ou superestimadas, poderão levar o projeto ao fracasso. E acredite, isso acontece todo o dia! Um projeto de B&A deve antes de tudo avaliar o que se quer produzir, qual o seu objetivo. Tendo isso claro, então se avaliam as tecnologias existentes.
63;Vamos falar posteriormente em análise de protótipos e pilotos, quando o projeto será analisado mais profundamente do ponto de vista de arquitetura. Mas, incialmente, alguns aspectos devem ser analisados com a equipe do projeto, como arquitetos, programadores e o pessoal de infraestrutura: qual vai ser o volume de dados? Muitas questões estão relacionadas com o volume: quantas serão as transações por minuto? Qual o volume de dados diário e mensal em terabytes ou pentabytes? Quantos datanodes e namenodes serão necessários? É preciso analisar o crescimento do sistema para os próximos anos (pelo menos para os próximos 3 anos) e avaliar a infraestrutura necessária quanto a armazenamento, rede e processamento.
64;Analisando agora outro “V” de Big Data, temos que analisar o aspecto da velocidade dos dados, não só na sua origem, mas de qual a latência possível até sua análise concluída. Serão dados em fluxo (streaming) analisados em memória ou informação estática? São dados em tempo real, próximo ao tempo real, ou com baixa latência (dias, semanas, meses)? Dados em tempo real podem ter um requisito de milissegundos, segundos, minutos ou mesmo horas. Já falamos sobre o valor da informação: talvez um indicativo de fraude deve ser reportado em segundos. Uma auditoria de folha de pagamento pode ser processada em 30 dias! Em certos casos você terá que considerar por exemplo, infraestrutura de rede de 10 gigabit Ethernet para suportar o streaming. Spark, irmão do Hadoop, é uma excelente plataforma de processamento em memória para projetos de tempo real ou próximo ao tempo real. Hoje, um servidor com 6 TB de memória pode suportar grandes volumes de dados e custar muito menos do que vários computadores “comódite” que comporiam alguns nós de um cluster.
65;Outro grande impacto no projeto é com relação a variedade. Serão dados estruturados ou não estruturados? Quais serão os fornecedores? Que tipo de dados não estruturado serão? Imagens, vídeos, e-mails? Estão em plataforma baixa ou alta? Existem conectores conhecidos e funcionais para todas as fontes? Existem dados criptografados ou em formatos proprietários? Existem dados gerados por máquinas? Serão necessários dados de dispositivos? Redes sociais? Será preciso comprar algum tipo de dados de um data broker[1]? As fontes de dados estão documentadas? Para piorar, a integridade referencial não existe no banco de dados e é mantida na aplicação. Se não há documentação, estão em uma estrutura legível? Será preciso fazer um processo de “engenharia reversa” sobre as fontes de dados? Imagine se entre uma das fontes de dados existe por exemplo, um sistema em que as entidades foram geradas por um gerador de aplicação, onde as tabelas e colunas são nomeadas por um prefixo mais um número, e não há qualquer documentação? Você já imaginou o impacto em custo e tempo no projeto se for necessário descobrir toda a estrutura de dados necessária para os objetivos do projeto usando uma ferramenta de profiler? Ou ainda, se a fonte de dados é algo muito antiga e especifica, que não existe um conector conhecido, ou este conector só está disponível numa fermenta cujo custo está nos seis dígitos! Em seção posterior falaremos ainda sobre sistemas sombra, que estão de certa forma relacionados com a vaidade.
66;A indisponibilidade faz parte dos riscos de um sistema em produção, ou seja, que não é mais um projeto. Porém devem ser planejadas na sua construção. A disponibilidade é afetada por falhas em hardware, software, falta de luz, falhas de segurança, problemas físicos ou lógicos de redes entre outros. Deve-se ainda prever e distinguir entre a indisponibilidade prevista e não prevista. Alguns tipos de sistemas podem ser projetados para eventualmente ficarem, de forma programada, fora do ar.
67;Os requisitos de disponibilidade de projetos de B&A variam muito. Um sistema hospitalar pode requer alta disponibilidade, já um sistema de geração de um arquivo de conformidade não. Uma disponibilidade alta, por exemplo, de 90%, significa que o sistema poderá estar indisponível cerca de 36 dias por ano é intolerável até para a aplicação menos critica. Já, uma disponibilidade de 99,999% (Conhecida como cinco noves), representa uma indisponibilidade de 5,26 minutos por ano. Os requisitos de disponibilidade vão afetar drasticamente seu projeto em termos de tempo, infraestrutura, pessoal, fornecedores e mais ainda, em custos. A inclusão de um ou dois noves depois da vírgula na disponibilidade, pode causar um impacto significativo nos custos de seu projeto.
68;Se partes da solução serão contratadas de terceiros, como por exemplo, um BI como serviço, além do SLA, pode ser interessante ter em contratação para projetos críticos o RTO (Recovery Time Objective), em português objetivo de tempo de recuperação, que define, em caso de falha ou desastre, o tempo que contratado tem para recuperar o sistema e colocá-lo de volta em funcionamento.
69;A alta disponibilidade significa sistemas mais tolerantes a falhas, que pode ser implementado por um “simples” Raid 6 ou até envolver redundância de servidores, armazenamentos, redes físicas e lógicas, replicação de dados para servidores remotos entre outros. Do ponto de vista de bancos de dados, os grandes fornecedores de banco de dados (não só relacionais) oferecem soluções de redundância. Certos produtos tem a redundância como característica nativa, como o próprio Hadoop, onde datanodes e namenodes são naturalmente replicados.
70;A virtualização não é nenhuma novidade. Projetos de B&A normalmente tem pelo menos uma de suas camadas virtualizada, o que reduz custos e facilita o gerenciamento. Certas partes de um projeto, obviamente, não fazem sentido serem virtualizadas em um mesmo servidor físico. Por exemplo, datanodes redundantes, se estiverem virtualizados no mesmo hardware, em caso de pane de qualquer elemento deste equipamento, tornará os dados destes nós indisponíveis.
71;A solução de backup que será aplicado ao mesmo, depende diretamente dos requisitos de disponibilidade e segurança do projeto. Podem ser necessários, além de backups completos, backups diferenciais, de configurações, de sistemas de autenticação entre outros. Também, pode ocorrer de que o backup tenha que ser feito numa estrutura física, diferente, ou seja, feito ou levado para outras instalações.  
72;Os requisitos de segurança e privacidade podem afetar muito o projeto, não apenas no que se refere a ferramentas, mas no seu próprio desenvolvimento, por isso devem ser considerados já no início do projeto. Dados podem ter que trafegar ou terem seu armazenamento criptografados. Requisitos funcionais podem existir controle de acesso por linha ou por coluna. Pode ser preciso que ferramentas de front end suportem autenticação integrada com LDAP.
73;A solução a ser projeta e desenvolvida tem requisitos de auditoria de uso e acesso a dados? Certos projetos podem ter requisitos de auditoria de uso, que normalmente vêm associada a questões de segurança e privacidade bastante restritos. A auditoria pode ser necessária em mais de uma etapa: na extração, no staging e na visualização. Normalmente, quando a equipe e ETL tem acesso a dados em uma fonte de origem, este acesso e restrito a certas tabelas e colunas. Uma auditoria vai se certificar que dados das quais não se deveria ter acesso foram extraídos. No staging, a auditoria registra quais dados foram atualizados. Na visualização, normalmente a mais simples, o sistema deve registrar quais fatos ou mesmo painéis foram acessados por quem, quando e de onde.
74;Deve-se avaliar com cuidadosamente as políticas organizacionais de governança de dados. Trata-se de uma serie políticas, processos, pessoas e tecnologia de como os dados devem ser governados na organização. O projeto terá que se adequar a estas policias, não somente quanto ao manuseio dos dados, mas quanto ao uso de sistemas e infraestrutura que serão utilizados.
75;Se a empresa para qual o projeto é executado é uma multinacional, podem haver requisitos de cultura de idioma. Todos sabemos que requisitos de idioma significam: a interface traduzida para o idioma local. Requisitos de cultura requerem elementos como datas e moedas, sejam formatados de acordo com a cultura do país onde a ferramenta é usada.
