Passageiro;Sobrevivente;Classe;Nome;Sexo;Idade;Irmãos;Pais;Tarifa
203;0;3;Johanson, Mr. Jakob Alfred;masculino;34;0;0;64.958
204;0;3;Youseff, Mr. Gerious;masculino;45,5;0;0;7.225
205;1;3;"Cohen, Mr. Gurshon ""Gus""";masculino;18;0;0;8,05
206;0;3;Strom, Miss. Telma Matilda;feminino;2;0;1;104.625
207;0;3;Backstrom, Mr. Karl Alfred;masculino;32;1;0;15,85
208;1;3;Albimona, Mr. Nassef Cassem;masculino;26;0;0;187.875
209;1;3;"Carr, Miss. Helen ""Ellen""";feminino;16;0;0;7,75
210;1;1;Blank, Mr. Henry;masculino;40;0;0;31
211;0;3;Ali, Mr. Ahmed;masculino;24;0;0;7,05
212;1;2;Cameron, Miss. Clear Annie;feminino;35;0;0;21
213;0;3;Perkin, Mr. John Henry;masculino;22;0;0;7,25
214;0;2;Givard, Mr. Hans Kristensen;masculino;30;0;0;13
216;1;1;Newell, Miss. Madeleine;feminino;31;1;0;113.275
217;1;3;Honkanen, Miss. Eliina;feminino;27;0;0;7.925
218;0;2;Jacobsohn, Mr. Sidney Samuel;masculino;42;1;0;27
219;1;1;Bazzani, Miss. Albina;feminino;32;0;0;762.917
220;0;2;Harris, Mr. Walter;masculino;30;0;0;10,5
221;1;3;Sunderland, Mr. Victor Francis;masculino;16;0;0;8,05
222;0;2;Bracken, Mr. James H;masculino;27;0;0;13
223;0;3;Green, Mr. George Henry;masculino;51;0;0;8,05
225;1;1;Hoyt, Mr. Frederick Maxfield;masculino;38;1;0;90
226;0;3;Berglund, Mr. Karl Ivar Sven;masculino;22;0;0;9,35
227;1;2;Mellors, Mr. William John;masculino;19;0;0;10,5
228;0;3;"Lovell, Mr. John Hall (""Henry"")";masculino;20,5;0;0;7,25
229;0;2;Fahlstrom, Mr. Arne Jonas;masculino;18;0;0;13
231;1;1;Harris, Mrs. Henry Birkhardt (Irene Wallach);feminino;35;1;0;83.475
232;0;3;Larsson, Mr. Bengt Edvin;masculino;29;0;0;7.775
233;0;2;Sjostedt, Mr. Ernst Adolf;masculino;59;0;0;13,5
234;1;3;Asplund, Miss. Lillian Gertrud;feminino;5;4;2;313.875
235;0;2;Leyson, Mr. Robert William Norman;masculino;24;0;0;10,5
237;0;2;Hold, Mr. Stephen;masculino;44;1;0;26
238;1;2;"Collyer, Miss. Marjorie ""Lottie""";feminino;8;0;2;26,25
239;0;2;Pengelly, Mr. Frederick William;masculino;19;0;0;10,5
240;0;2;Hunt, Mr. George Henry;masculino;33;0;0;12.275
243;0;2;Coleridge, Mr. Reginald Charles;masculino;29;0;0;10,5
244;0;3;Maenpaa, Mr. Matti Alexanteri;masculino;22;0;0;7.125
245;0;3;Attalah, Mr. Sleiman;masculino;30;0;0;7.225
246;0;1;Minahan, Dr. William Edward;masculino;44;2;0;90
247;0;3;Lindahl, Miss. Agda Thorilda Viktoria;feminino;25;0;0;7.775
248;1;2;Hamalainen, Mrs. William (Anna);feminino;24;0;2;14,5
249;1;1;Beckwith, Mr. Richard Leonard;masculino;37;1;1;525.542
250;0;2;Carter, Rev. Ernest Courtenay;masculino;54;1;0;26
252;0;3;Strom, Mrs. Wilhelm (Elna Matilda Persson);feminino;29;1;1;104.625
253;0;1;Stead, Mr. William Thomas;masculino;62;0;0;26,55
254;0;3;Lobb, Mr. William Arthur;masculino;30;1;0;16,1
255;0;3;Rosblom, Mrs. Viktor (Helena Wilhelmina);feminino;41;0;2;202.125
256;1;3;Touma, Mrs. Darwis (Hanne Youssef Razi);feminino;29;0;2;152.458
258;1;1;Cherry, Miss. Gladys;feminino;30;0;0;86,5
259;1;1;Ward, Miss. Anna;feminino;35;0;0;5.123.292
260;1;2;Parrish, Mrs. (Lutie Davis);feminino;50;0;1;26
262;1;3;Asplund, Master. Edvin Rojj Felix;masculino;3;4;2;313.875
263;0;1;Taussig, Mr. Emil;masculino;52;1;1;79,65
264;0;1;Harrison, Mr. William;masculino;40;0;0;0
266;0;2;Reeves, Mr. David;masculino;36;0;0;10,5
267;0;3;Panula, Mr. Ernesti Arvid;masculino;16;4;1;396.875
268;1;3;Persson, Mr. Ernst Ulrik;masculino;25;1;0;7.775
269;1;1;Graham, Mrs. William Thompson (Edith Junkins);feminino;58;0;1;1.534.625
270;1;1;Bissette, Miss. Amelia;feminino;35;0;0;1.356.333
272;1;3;Tornquist, Mr. William Henry;masculino;25;0;0;0
273;1;2;Mellinger, Mrs. (Elizabeth Anne Maidment);feminino;41;0;1;19,5
274;0;1;Natsch, Mr. Charles H;masculino;37;0;1;29,7
276;1;1;Andrews, Miss. Kornelia Theodosia;feminino;63;1;0;779.583
277;0;3;Lindblom, Miss. Augusta Charlotta;feminino;45;0;0;7,75
279;0;3;Rice, Master. Eric;masculino;7;4;1;29.125
280;1;3;Abbott, Mrs. Stanton (Rosa Hunt);feminino;35;1;1;20,25
281;0;3;Duane, Mr. Frank;masculino;65;0;0;7,75
282;0;3;Olsson, Mr. Nils Johan Goransson;masculino;28;0;0;78.542
283;0;3;de Pelsmaeker, Mr. Alfons;masculino;16;0;0;9,5
284;1;3;Dorking, Mr. Edward Arthur;masculino;19;0;0;8,05
286;0;3;Stankovic, Mr. Ivan;masculino;33;0;0;86.625
287;1;3;de Mulder, Mr. Theodore;masculino;30;0;0;9,5
288;0;3;Naidenoff, Mr. Penko;masculino;22;0;0;78.958
289;1;2;Hosono, Mr. Masabumi;masculino;42;0;0;13
290;1;3;Connolly, Miss. Kate;feminino;22;0;0;7,75
291;1;1;"Barber, Miss. Ellen ""Nellie""";feminino;26;0;0;78,85
292;1;1;Bishop, Mrs. Dickinson H (Helen Walton);feminino;19;1;0;910.792
293;0;2;Levy, Mr. Rene Jacques;masculino;36;0;0;12.875
294;0;3;Haas, Miss. Aloisia;feminino;24;0;0;8,85
295;0;3;Mineff, Mr. Ivan;masculino;24;0;0;78.958
297;0;3;Hanna, Mr. Mansour;masculino;23,5;0;0;72.292
298;0;1;Allison, Miss. Helen Loraine;feminino;2;1;2;151,55
300;1;1;Baxter, Mrs. James (Helene DeLaudeniere Chaput);feminino;50;0;1;2.475.208
303;0;3;Johnson, Mr. William Cahoone Jr;masculino;19;0;0;0
306;1;1;Allison, Master. Hudson Trevor;masculino;0,92;1;2;151,55
308;1;1;Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo);feminino;17;1;0;108,9
309;0;2;Abelson, Mr. Samuel;masculino;30;1;0;24
310;1;1;Francatelli, Miss. Laura Mabel;feminino;30;0;0;569.292
311;1;1;Hays, Miss. Margaret Bechstein;feminino;24;0;0;831.583
312;1;1;Ryerson, Miss. Emily Borie;feminino;18;2;2;262.375
313;0;2;Lahtinen, Mrs. William (Anna Sylfven);feminino;26;1;1;26
314;0;3;Hendekovic, Mr. Ignjac;masculino;28;0;0;78.958
315;0;2;Hart, Mr. Benjamin;masculino;43;1;1;26,25
316;1;3;Nilsson, Miss. Helmina Josefina;feminino;26;0;0;78.542
317;1;2;Kantor, Mrs. Sinai (Miriam Sternin);feminino;24;1;0;26
318;0;2;Moraweck, Dr. Ernest;masculino;54;0;0;14
319;1;1;Wick, Miss. Mary Natalie;feminino;31;0;2;1.648.667
320;1;1;Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone);feminino;40;1;1;134,5
321;0;3;Dennis, Mr. Samuel;masculino;22;0;0;7,25
322;0;3;Danoff, Mr. Yoto;masculino;27;0;0;78.958
323;1;2;Slayter, Miss. Hilda Mary;feminino;30;0;0;12,35
324;1;2;Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh);feminino;22;1;1;29
326;1;1;Young, Miss. Marie Grice;feminino;36;0;0;1.356.333
327;0;3;Nysveen, Mr. Johan Hansen;masculino;61;0;0;62.375
328;1;2;Ball, Mrs. (Ada E Hall);feminino;36;0;0;13
329;1;3;Goldsmith, Mrs. Frank John (Emily Alice Brown);feminino;31;1;1;20.525
330;1;1;Hippach, Miss. Jean Gertrude;feminino;16;0;1;579.792
332;0;1;Partner, Mr. Austen;masculino;45,5;0;0;28,5
333;0;1;Graham, Mr. George Edward;masculino;38;0;1;1.534.625
334;0;3;Vander Planke, Mr. Leo Edmondus;masculino;16;2;0;18
337;0;1;Pears, Mr. Thomas Clinton;masculino;29;1;0;66,6
338;1;1;Burns, Miss. Elizabeth Margaret;feminino;41;0;0;134,5
339;1;3;Dahl, Mr. Karl Edwart;masculino;45;0;0;8,05
340;0;1;Blackwell, Mr. Stephen Weart;masculino;45;0;0;35,5
341;1;2;Navratil, Master. Edmond Roger;masculino;2;1;1;26
342;1;1;Fortune, Miss. Alice Elizabeth;feminino;24;3;2;263
343;0;2;Collander, Mr. Erik Gustaf;masculino;28;0;0;13
344;0;2;Sedgwick, Mr. Charles Frederick Waddington;masculino;25;0;0;13
345;0;2;Fox, Mr. Stanley Hubert;masculino;36;0;0;13
346;1;2;"Brown, Miss. Amelia ""Mildred""";feminino;24;0;0;13
347;1;2;Smith, Miss. Marion Elsie;feminino;40;0;0;13
349;1;3;"Coutts, Master. William Loch ""William""";masculino;3;1;1;15,9
350;0;3;Dimic, Mr. Jovan;masculino;42;0;0;86.625
351;0;3;Odahl, Mr. Nils Martin;masculino;23;0;0;9.225
353;0;3;Elias, Mr. Tannous;masculino;15;1;1;72.292
354;0;3;Arnold-Franchi, Mr. Josef;masculino;25;1;0;17,8
356;0;3;Vanden Steen, Mr. Leo Peter;masculino;28;0;0;9,5
357;1;1;Bowerman, Miss. Elsie Edith;feminino;22;0;1;55
358;0;2;Funk, Miss. Annie Clemmer;feminino;38;0;0;13
361;0;3;Skoog, Mr. Wilhelm;masculino;40;1;4;27,9
362;0;2;del Carlo, Mr. Sebastiano;masculino;29;1;0;277.208
363;0;3;Barbara, Mrs. (Catherine David);feminino;45;0;1;144.542
364;0;3;Asim, Mr. Adola;masculino;35;0;0;7,05
366;0;3;Adahl, Mr. Mauritz Nils Martin;masculino;30;0;0;7,25
367;1;1;Warren, Mrs. Frank Manley (Anna Sophia Atkinson);feminino;60;1;0;75,25
370;1;1;Aubart, Mme. Leontine Pauline;feminino;24;0;0;69,3
371;1;1;Harder, Mr. George Achilles;masculino;25;1;0;554.417
372;0;3;Wiklund, Mr. Jakob Alfred;masculino;18;1;0;64.958
373;0;3;Beavan, Mr. William Thomas;masculino;19;0;0;8,05
374;0;1;Ringhini, Mr. Sante;masculino;22;0;0;1.356.333
375;0;3;Palsson, Miss. Stina Viola;feminino;3;3;1;21.075
377;1;3;Landergren, Miss. Aurora Adelia;feminino;22;0;0;7,25
378;0;1;Widener, Mr. Harry Elkins;masculino;27;0;2;211,5
379;0;3;Betros, Mr. Tannous;masculino;20;0;0;40.125
380;0;3;Gustafsson, Mr. Karl Gideon;masculino;19;0;0;7.775
381;1;1;Bidois, Miss. Rosalie;feminino;42;0;0;227.525
382;1;3;"Nakid, Miss. Maria (""Mary"")";feminino;1;0;2;157.417
383;0;3;Tikkanen, Mr. Juho;masculino;32;0;0;7.925
384;1;1;Holverson, Mrs. Alexander Oskar (Mary Aline Towner);feminino;35;1;0;52
386;0;2;Davies, Mr. Charles Henry;masculino;18;0;0;73,5
387;0;3;Goodwin, Master. Sidney Leonard;masculino;1;5;2;46,9
388;1;2;Buss, Miss. Kate;feminino;36;0;0;13
390;1;2;Lehmann, Miss. Bertha;feminino;17;0;0;12
391;1;1;Carter, Mr. William Ernest;masculino;36;1;2;120
392;1;3;Jansson, Mr. Carl Olof;masculino;21;0;0;77.958
393;0;3;Gustafsson, Mr. Johan Birger;masculino;28;2;0;7.925
394;1;1;Newell, Miss. Marjorie;feminino;23;1;0;113.275
395;1;3;Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson);feminino;24;0;2;16,7
396;0;3;Johansson, Mr. Erik;masculino;22;0;0;77.958
397;0;3;Olsson, Miss. Elina;feminino;31;0;0;78.542
398;0;2;McKane, Mr. Peter David;masculino;46;0;0;26
399;0;2;Pain, Dr. Alfred;masculino;23;0;0;10,5
400;1;2;Trout, Mrs. William H (Jessie L);feminino;28;0;0;12,65
401;1;3;Niskanen, Mr. Juha;masculino;39;0;0;7.925
402;0;3;Adams, Mr. John;masculino;26;0;0;8,05
403;0;3;Jussila, Miss. Mari Aina;feminino;21;1;0;9.825
404;0;3;Hakkarainen, Mr. Pekka Pietari;masculino;28;1;0;15,85
405;0;3;Oreskovic, Miss. Marija;feminino;20;0;0;86.625
406;0;2;Gale, Mr. Shadrach;masculino;34;1;0;21
407;0;3;Widegren, Mr. Carl/Charles Peter;masculino;51;0;0;7,75
408;1;2;Richards, Master. William Rowe;masculino;3;1;1;18,75
409;0;3;Birkeland, Mr. Hans Martin Monsen;masculino;21;0;0;7.775
413;1;1;Minahan, Miss. Daisy E;feminino;33;1;0;90
415;1;3;Sundman, Mr. Johan Julian;masculino;44;0;0;7.925
417;1;2;Drew, Mrs. James Vivian (Lulu Thorne Christian);feminino;34;1;1;32,5
418;1;2;Silven, Miss. Lyyli Karoliina;feminino;18;0;2;13
419;0;2;Matthews, Mr. William John;masculino;30;0;0;13
420;0;3;Van Impe, Miss. Catharina;feminino;10;0;2;24,15
422;0;3;Charters, Mr. David;masculino;21;0;0;77.333
423;0;3;Zimmerman, Mr. Leo;masculino;29;0;0;7.875
424;0;3;Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren);feminino;28;1;1;14,4
425;0;3;Rosblom, Mr. Viktor Richard;masculino;18;1;1;202.125
427;1;2;Clarke, Mrs. Charles V (Ada Maria Winfield);feminino;28;1;0;26
428;1;2;"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")";feminino;19;0;0;26
430;1;3;Pickard, Mr. Berk (Berk Trembisky);masculino;32;0;0;8,05
431;1;1;Bjornstrom-Steffansson, Mr. Mauritz Hakan;masculino;28;0;0;26,55
433;1;2;Louch, Mrs. Charles Alexander (Alice Adelaide Slow);feminino;42;1;0;26
434;0;3;Kallio, Mr. Nikolai Erland;masculino;17;0;0;7.125
435;0;1;Silvey, Mr. William Baird;masculino;50;1;0;55,9
436;1;1;Carter, Miss. Lucile Polk;feminino;14;1;2;120
437;0;3;"Ford, Miss. Doolina Margaret ""Daisy""";feminino;21;2;2;34.375
438;1;2;Richards, Mrs. Sidney (Emily Hocking);feminino;24;2;3;18,75
439;0;1;Fortune, Mr. Mark;masculino;64;1;4;263
440;0;2;Kvillner, Mr. Johan Henrik Johannesson;masculino;31;0;0;10,5
441;1;2;Hart, Mrs. Benjamin (Esther Ada Bloomfield);feminino;45;1;1;26,25
442;0;3;Hampe, Mr. Leon;masculino;20;0;0;9,5
443;0;3;Petterson, Mr. Johan Emil;masculino;25;1;0;7.775
444;1;2;Reynaldo, Ms. Encarnacion;feminino;28;0;0;13
446;1;1;Dodge, Master. Washington;masculino;4;0;2;818.583
447;1;2;Mellinger, Miss. Madeleine Violet;feminino;13;0;1;19,5
448;1;1;Seward, Mr. Frederic Kimber;masculino;34;0;0;26,55
449;1;3;Baclini, Miss. Marie Catherine;feminino;5;2;1;192.583
450;1;1;Peuchen, Major. Arthur Godfrey;masculino;52;0;0;30,5
451;0;2;West, Mr. Edwy Arthur;masculino;36;1;2;27,75
453;0;1;Foreman, Mr. Benjamin Laventall;masculino;30;0;0;27,75
454;1;1;Goldenberg, Mr. Samuel L;masculino;49;1;0;891.042
456;1;3;Jalsevac, Mr. Ivan;masculino;29;0;0;78.958
457;0;1;Millet, Mr. Francis Davis;masculino;65;0;0;26,55
459;1;2;Toomey, Miss. Ellen;feminino;50;0;0;10,5
